Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
MHGU,MERITAGE HOSPTLTY GRP INC,OTCQX U.S. Premier,20.800000,0.000000,500,Common Stock,USA,Michigan
MHGUP,MERITAGE HOSPTLTY PFD B,OTCQX U.S. Premier,35.000000,,0,Preferred Stock,USA,Michigan
TYCB,TAYLOR(CLVN B)BKG BRLN MD,OTCQX U.S. Premier,33.000000,,0,Common Stock,USA,Maryland
STBI,STURGIS BANCORP INC,OTCQX U.S. Premier,19.050000,,0,Common Stock,USA,Michigan
PSBP,PSB HOLDING CORP,OTCQX U.S. Premier,25.110000,,0,Common Stock,USA,Maryland
OCBI,ORANGE CTY BNCRP INC,OTCQX U.S. Premier,30.750000,-0.646200,1300,Common Stock,USA,New York
MNBP,MARS BANCORP INC,OTCQX U.S. Premier,475.000000,,0,Common Stock,USA,Pennsylvania
MNAT,MARQUETTE NATL CORP,OTCQX U.S. Premier,37.740000,,0,Common Stock,USA,Illinois
KISB,KISH BANCORP INC,OTCQX U.S. Premier,32.000000,7.563000,100,Common Stock,USA,Pennsylvania
KCLI,KANSAS CITY LIFE INS NEW,OTCQX U.S. Premier,44.250000,,1,Common Stock,USA,Missouri
FBAK,FIRST NB ALASKA,OTCQX U.S. Premier,219.810000,0.599500,284,Common Stock,USA,Alaska
FETM,FENTURA FINANCIAL INC,OTCQX U.S. Premier,23.300000,0.000000,1400,Common Stock,USA,Michigan
ENBP,ENB FINANCIAL CORP PA,OTCQX U.S. Premier,21.650000,,0,Common Stock,USA,Pennsylvania
CNIG,CORNING NATURAL GAS HLDG,OTCQX U.S. Premier,23.320000,,0,Common Stock,USA,New York
CBAF,CITBA FINANCIAL CORP,OTCQX U.S. Premier,29.750000,0.000000,200,Common Stock,USA,Indiana
CPTP,CAPITAL PROPERTIES INC A,OTCQX U.S. Premier,12.500000,1.708700,641,Common Stock,USA,Rhode Island
KTYB,KENTUCKY BANCSHARES INC,OTCQX U.S. Premier,37.450000,-6.375000,206,Common Stock,USA,Kentucky
BHWB,BLACKHAWK BANCORP INC,OTCQX U.S. Premier,29.990000,3.413800,100,Common Stock,USA,Wisconsin
CFNB,CALIFORNIA FIRST LEASING,OTCQX U.S. Premier,17.320000,0.000000,100,Common Stock,USA,California
BNCC,BNCCORP INC,OTCQX U.S. Premier,36.190000,0.249000,2245,Common Stock,USA,North Dakota
CNAF,COMML NATL FINCL CORP PA,OTCQX U.S. Premier,18.700000,-1.319300,1234,Common Stock,USA,Pennsylvania
DBIN,DACOTAH BANKS INC,OTCQX U.S. Premier,31.900000,2.243600,2069,Common Stock,USA,South Dakota
HLAN,HEARTLAND BANC CORP,OTCQX U.S. Premier,95.500000,0.000000,515,Common Stock,USA,Ohio
CMTV,COMMUTY BANCORP VT,OTCQX U.S. Premier,18.730000,4.055600,200,Common Stock,USA,Vermont
FMBM,F & M BANK CORP,OTCQX U.S. Premier,27.300000,,0,Common Stock,USA,Virginia
PPBN,PINNACLE BANKSHARES CORP,OTCQX U.S. Premier,25.760000,1.019600,108,Common Stock,USA,Virginia
WAYN,WAYNE SAVINGS BNCSHS INC,OTCQX U.S. Premier,24.110000,1.473100,201,Common Stock,USA,Ohio
NASB,NASB FINCL INC,OTCQX U.S. Premier,65.697500,-4.786200,1065,Common Stock,USA,Missouri
VABK,VIRGINIA NATIONAL BNKSHS,OTCQX U.S. Premier,30.350000,,156,Common Stock,USA,Virginia
UBNC,UB BANCORP,OTCQX U.S. Premier,14.000000,,0,Common Stock,USA,North Carolina
